"ID","Afqt80","Afqt89","Afqt06"
"853","91","99","98417"
"854","44","44","50954"
"855","77","75","61777"
"856","71","79","83737"
"857","41","37","47207"
"858","12","10","11710"
"859","22","27","23250"
"860","64","68","69283"
"861","39","43","49173"
"862","48","52","41383"
"863","49","35","38088"
"864","41","36","32786"
"865","71","64","58337"
"866","18","22","27315"
"867","57","55","69101"
"868","86","90","91600"
"869","42","59","72213"
"870","7","7","9505"
"871","51","56","70262"
"872","76","80","71872"
"873","70","75","80046"
"874","84","90","94976"
"875","32","33","25657"
"876","88","89","79208"
"877",".",".","."
"878","48","58","68575"
"879","55","61","79765"
"880",".",".","."
"881","81","80","80898"
"882","59","56","64498"
"883","57","56","75516"
"884","99","97","98089"
"885","91","85","81330"
"886","76","89","92741"
"887","42","51","56311"
"888","26","29","21826"
"889","49","52","45056"
"890","91","90","82756"
"891","60","53","42935"
"892","63","45","49165"
"893","47","41","45436"
"894",".",".","."
"895","89","85","86610"
"896","99","99","98804"
"897","85","84","82852"
"898","71","74","79576"
"899","93","86","83208"
"900","79","73","72257"
"901","69","64","73871"
"902","76","73","82490"
"903",".",".","."
"904","29","34","46394"
"905","56","47","51552"
"906","89","89","93511"
"907","75","95","93432"
"908","67","73","82465"
"909","40","48","61363"
"910","88","84","81839"
"911","22","27","36254"
"912","96","94","91404"
"913","84","86","93464"
"914","80","73","75363"
"915","85","88","92122"
"916","84","88","82189"
"917","29","29","25522"
"918","37","40","47309"
"919","37","42","39872"
"920","89","87","86877"
"921","8","7","7983"
"922","60","54","55885"
"923","21","27","29364"
"924","85","76","83946"
"925","89","87","78852"
"926","69","72","73214"
"927","96","91","97423"
"928","43","44","45999"
"929","56","56","75258"
"930","6","9","16307"
"931","70","69","71323"
"932","22","24","26769"
"933","52","53","58258"
"934",".",".","."
"935","40","40","34620"
"936","53","54","58404"
"937","75","73","84974"
"938","23","23","21712"
"939","21","18","17528"
"940","72","53","57979"
"941","44","53","44224"
"942","49","51","55978"
"943","36","29","20661"
"944","99","99","97299"
"945","47","52","51523"
"946","72","75","84064"
"947","91","86","77263"
"948","24","21","18274"
"949","40","53","64067"
"950","76","84","91630"
"951","30","39","52109"
"952","53","52","63710"
"953","75","73","70212"
"954","77","78","83581"
"955","62","54","45546"
"956","48","38","55543"
"957","21","22","26602"
"958","62","45","41439"
"959","91","95","96442"
"960","83","87","88979"
"961","81","84","88914"
"962","57","62","67250"
"963","38","48","51978"
"964","25","20","28308"
"965","21","15","10950"
"966","14","16","18824"
"967","11","12","17834"
"968","46","43","43365"
"969","59","52","44379"
"970","59","55","57553"
"971","47","50","53275"
"972","45","46","57315"
"973","60","61","65073"
"974","58","69","66668"
"975",".",".","."
"976","79","81","62466"
"977","86","76","90864"
"978","31","26","20867"
"979","50","38","41411"
"980","45","43","40748"
"981","28","22","21246"
"982","39","39","55097"
"983",".",".","."
"984","41","41","37731"
"985","65","59","52705"
"986","37","39","51322"
"987","89","93","86122"
"988","8","6","5508"
"989","83","71","67749"
"990","64","66","60136"
"991","34","36","38234"
"992","30","29","24577"
"993","82","91","90719"
"994","34","47","51447"
"995","81","76","83931"
"996","28","28","30891"
"997","47","58","78723"
"998","94","91","92133"
"999","55","55","67602"
"1000","73","64","67877"
"1001","12","11","16807"
"1002","5","5","5271"
"1003","52","53","61145"
"1004","24","22","27973"
"1005","30","27","33605"
"1006","68","77","71039"
"1007","67","61","47450"
"1008","46","39","33430"
"1009","16","19","19686"
"1010","65","80","88408"
"1011","35","27","34339"
"1012","6","4","15678"
"1013","70","82","91199"
"1014","98","94","94207"
"1015","59","74","85366"
"1016","41","42","28497"
"1017","63","71","73243"
"1018","44","42","47362"
"1019","98","98","100000"
"1020","99","99","98236"
"1021","41","49","59376"
"1022","12","6","4049"
"1023","90","93","92319"
"1024","71","76","77471"
"1025",".",".","."
"1026",".",".","."
"1027","11","10","12661"
"1028","3","4","4672"
"1029","17","17","26365"
"1030","14","13","13143"
"1031","6","4","6324"
"1032","1","1","49"
"1033","7","5","8101"
"1034","12","8","12727"
"1035","17","26","37759"
"1036",".",".","."
"1037","42","40","40617"
"1038","40","56","64065"
"1039","59","71","71230"
"1040","62","61","55277"
"1041",".",".","."
"1042","34","32","28954"
"1043","1","4","3732"
"1044","5","4","4871"
"1045","60","65","65206"
"1046","53","55","70337"
"1047","21","26","22497"
"1048","8","8","3156"
"1049","77","79","84635"
"1050","84","77","86124"
"1051","90","92","87785"
"1052","89","87","89341"
"1053","63","59","73413"
"1054",".",".","."
"1055","87","82","77043"
"1056","15","16","15555"
"1057","2","1","290"
"1058","32","27","34012"
"1059","10","16","12878"
"1060","43","40","33045"
"1061","89","80","80231"
"1062","82","69","58977"
"1063","45","43","45580"
"1064","78","74","59869"
"1065","77","77","70030"
"1066",".",".","."
"1067","4","1","887"
"1068","3","1","958"
"1069","13","12","8168"
"1070","15","12","4341"
"1071","6","7","8758"
"1072","18","29","35780"
"1073","8","17","15431"
"1074","14","14","14876"
"1075",".",".","."
"1076","20","19","43456"
"1077","4","3","7901"
"1078","85","85","88023"
"1079","24","25","24473"
"1080","44","53","68497"
"1081","55","71","76163"
"1082","67","74","71597"
"1083","76","84","76983"
"1084","14","11","10691"
"1085","53","54","65317"
"1086","52","68","77119"
"1087","92","99","100000"
"1088","99","99","98870"
"1089","6","4","1672"
"1090","16","12","12621"
"1091","40","48","51083"
"1092","43","54","59139"
"1093","64","49","50614"
"1094","49","46","32725"
"1095","43","51","54507"
"1096","16","13","15428"
"1097","78","95","97926"
"1098","83","99","98356"
"1099","55","74","64442"
"1100","29","43","52660"
"1101","94","87","89998"
"1102","45","50","44711"
"1103","91","84","75596"
"1104","77","67","55829"
"1105","68","64","65903"
"1106","81","77","87203"
"1107","60","53","40507"
"1108","33","27","24060"
"1109","75","76","72495"
"1110","35","35","42501"
"1111","60","51","44401"
"1112","21","27","41686"
"1113",".",".","."
"1114","29","29","31751"
"1115","37","30","26099"
"1116","32","29","31890"
"1117","41","40","38104"
"1118","33","22","22955"
"1119","71","78","65235"
"1120","91","86","79870"
"1121",".",".","."
"1122","91","99","99147"
"1123","48","51","46784"
"1124","1","2","861"
"1125",".",".","."
"1126",".",".","."
