"SubjectTag","ExtendedID","Generation","Gender","RaceCohort","SiblingCountInNls","BirthOrderInNls","SimilarAgeCount","HasMzPossibly","KidCountBio","KidCountInNls","Mob","LastSurveyYearCompleted","AgeAtLastSurvey","IsDead","DeathDate"
928702,9287,2,1,2,4,2,1,0,0,NA,1990-05-15,2010,19.8247776031494,0,NA
928703,9287,2,2,2,4,3,1,0,NA,NA,1992-11-15,2010,17.5222454071045,0,NA
928704,9287,2,2,2,4,4,1,0,0,NA,1994-06-15,2010,15.9260778427124,0,NA
928800,9287,1,1,2,2,2,1,0,2,0,1961-01-15,2010,49.4099922180176,0,NA
928900,9289,1,1,1,3,1,1,0,0,0,1958-11-15,2006,47.4004096984863,0,NA
929000,9289,1,1,1,3,3,1,0,0,0,1964-07-15,2010,45.667350769043,0,NA
929100,9289,1,1,1,3,2,1,0,0,0,1961-04-15,2010,48.7748107910156,0,NA
929200,9292,1,1,1,2,1,1,0,3,0,1962-08-15,2010,47.5728950500488,0,NA
929300,9292,1,1,1,2,2,1,0,0,0,1964-12-15,2010,45.2676239013672,0,NA
929400,9294,1,1,1,1,1,1,0,0,0,1964-05-15,2010,45.9958915710449,0,NA
929500,9295,1,1,2,1,1,1,0,0,0,1963-05-15,2010,46.8364143371582,0,NA
929600,9296,1,1,1,1,1,1,0,1,0,1957-04-15,2006,49.8234100341797,0,NA
