ExtendedID,SubjectTag_S1,SubjectTag_S2,R,RelationshipPath
157,15702,15905,0.125,Gen2Cousins
157,15800,15801,0.5,ParentChild
157,15800,15802,0.5,ParentChild
157,15800,15900,0.5,Gen1Housemates
157,15800,15901,0.25,AuntNiece
157,15800,15902,0.25,AuntNiece
157,15800,15903,0.25,AuntNiece
157,15800,15904,0.25,AuntNiece
157,15800,15905,0.25,AuntNiece
157,15801,15802,0.5,Gen2Siblings
157,15801,15900,0.25,AuntNiece
157,15801,15901,0.125,Gen2Cousins
157,15801,15902,0.125,Gen2Cousins
157,15801,15903,0.125,Gen2Cousins
157,15801,15904,0.125,Gen2Cousins
157,15801,15905,0.125,Gen2Cousins
157,15802,15900,0.25,AuntNiece
157,15802,15901,0.125,Gen2Cousins
157,15802,15902,0.125,Gen2Cousins
157,15802,15903,0.125,Gen2Cousins
157,15802,15904,0.125,Gen2Cousins
157,15802,15905,0.125,Gen2Cousins
157,15900,15901,0.5,ParentChild
157,15900,15902,0.5,ParentChild
157,15900,15903,0.5,ParentChild
157,15900,15904,0.5,ParentChild
157,15900,15905,0.5,ParentChild
157,15901,15902,0.5,Gen2Siblings
157,15901,15903,0.5,Gen2Siblings
157,15901,15904,0.5,Gen2Siblings
157,15901,15905,0.5,Gen2Siblings
157,15902,15903,0.5,Gen2Siblings
157,15902,15904,0.5,Gen2Siblings
157,15902,15905,0.5,Gen2Siblings
157,15903,15904,0.5,Gen2Siblings
157,15903,15905,0.5,Gen2Siblings
157,15904,15905,0.5,Gen2Siblings
160,16000,16001,0.5,ParentChild
160,16000,16100,0.5,Gen1Housemates
160,16000,16101,0.25,AuntNiece
160,16000,16102,0.25,AuntNiece
160,16001,16100,0.25,AuntNiece
160,16001,16101,0.125,Gen2Cousins
160,16001,16102,0.125,Gen2Cousins
160,16100,16101,0.5,ParentChild
160,16100,16102,0.5,ParentChild
160,16101,16102,0.5,Gen2Siblings
162,16200,16300,0.5,Gen1Housemates
165,16500,16501,0.5,ParentChild
165,16500,16502,0.5,ParentChild
165,16500,16503,0.5,ParentChild
165,16500,16600,0.5,Gen1Housemates
