"R0000100","R0214700","R0214800","R9908100","R9908200","R9908300","R9908600","R9909700","R9909800","R9910400"
6749,2,2,18,20,22,-999,-997,-997,0
6750,2,2,-998,-998,-998,-999,-998,-998,0
6751,2,1,-998,-998,-998,34,-998,-998,-4
6752,2,2,18,25,26,24,79,0,1
6753,2,2,24,36,-996,21,44,1,1
6754,2,2,-998,-998,-998,21,-998,-998,0
6755,2,2,19,25,-996,18,11,1,0
6756,2,2,23,25,-996,-999,-997,-997,2
6757,2,2,20,-997,-997,36,200,0,0
6758,2,2,21,24,-996,22,10,0,0
6759,2,1,18,25,28,41,273,0,-4
6760,2,1,25,30,38,21,48,1,-4
6761,2,2,18,-997,-997,-999,-997,-997,0
6762,2,1,-998,-998,-998,-999,-998,-998,-4
6763,1,2,42,-997,-997,-999,-997,-997,0
6764,1,1,-998,-998,-998,24,-998,-998,-4
6765,1,2,24,30,-996,21,33,1,0
6766,3,2,-998,-998,-998,28,-998,-998,0
6767,3,2,27,29,-996,27,1,0,0
6768,1,1,32,-997,-997,-3,-999,-999,-4
6769,2,1,32,35,-996,23,107,1,-4
6770,2,1,25,-997,-997,24,11,1,-4
6771,2,1,20,23,-996,19,13,1,-4
6772,1,2,19,21,-996,18,13,1,1
6773,1,2,19,24,29,28,108,0,1
6774,1,2,23,24,27,21,21,1,0
6775,1,1,-998,-998,-998,22,-998,-998,-4
6776,1,1,26,28,-996,25,11,1,-4
6777,1,2,23,26,-996,23,10,1,0
6778,1,1,19,21,23,-999,-997,-997,-4
6779,2,1,29,-997,-997,33,48,0,-4
6780,1,2,21,41,-996,40,223,0,1
6781,2,1,30,-997,-997,-999,-997,-997,-4
6782,3,1,-998,-998,-998,-999,-998,-998,-4
6783,1,2,20,26,-996,25,60,0,3
6784,1,1,35,41,-996,37,24,0,-4
6785,1,1,-998,-998,-998,27,-998,-998,-4
6786,1,1,17,18,-996,-999,-997,-997,-4
6787,1,2,16,17,19,-3,-999,-999,0
6788,1,2,16,18,28,27,133,0,1
6789,1,1,18,21,31,16,23,1,-4
6790,1,1,17,20,22,44,326,0,-4
6791,1,1,23,27,-3,-3,-999,-999,-4
6792,1,1,24,-997,-997,21,47,1,-4
