"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4863",1041700,1041900,10417,NA,1,8.483,NA,NA,19.386,NA,NA
"4864",1041700,1042000,10417,NA,1,8.483,NA,NA,21.838,NA,NA
"4865",1041800,1042000,10417,NA,1,1.942,NA,NA,21.838,NA,NA
"4866",1041900,1042000,10417,NA,1,19.386,NA,NA,21.838,NA,NA
"4867",1042300,1042400,10423,0.25,1,6.224,0.0094076986,-1,7.014,0.1972426808,0
"4868",1042500,1042600,10425,0.5,1,9.87,0.965207941,-1,55.495,0.965207941,-1
"4869",1042800,1042900,10428,0.5,1,27.501,0.1921945691,-1,9.967,NA,NA
"4870",1042800,1043000,10428,0.5,1,27.501,0.1921945691,-1,5.749,0.1310922787,-1
"4871",1042900,1043000,10428,0.5,1,9.967,NA,NA,5.749,0.1310922787,-1
"4872",1042800,1043100,10428,0.5,1,27.501,0.1921945691,-1,1.486,0.1921945691,1
"4873",1042900,1043100,10428,0.5,1,9.967,NA,NA,1.486,0.1921945691,1
"4874",1043000,1043100,10428,0.5,1,5.749,0.1310922787,-1,1.486,0.1921945691,1
"4875",1043300,1043400,10433,0.5,1,8.928,-0.146946275,-1,4.576,0.6871693869,-1
"4876",1043800,1043900,10438,0.5,1,40.759,-0.15871286,-1,21.434,NA,0
"4877",1044000,1044100,10440,NA,1,77.832,NA,NA,79.039,NA,NA
"4878",1044300,1044400,10443,0.5,1,24.891,0.614300512,1,38.031,0.0094076986,1
"4879",1044900,1045000,10449,0.5,1,72.387,0.614300512,-0.5,33.325,0.4091308328,1
"4880",1045400,1045500,10454,0.5,1,47.884,0.6871693869,-1,7.111,0.6871693869,-1
"4881",972800,1045700,9728,NA,1,65.692,NA,NA,77.644,NA,NA
"4882",973300,1045800,9733,NA,1,40.445,NA,NA,88.388,NA,NA
"4883",1046200,1046300,10462,NA,1,66.888,NA,NA,82.575,NA,NA
"4884",1046200,1046400,10462,NA,1,66.888,NA,NA,NA,NA,NA
"4885",1046300,1046400,10462,NA,1,82.575,NA,NA,NA,NA,NA
"4886",1046600,1046700,10466,NA,1,33.495,NA,NA,46.64,NA,NA
"4887",1047000,1047100,10470,0.5,1,52.688,1.0313583431,-1,38.924,-0.128161715,0
"4888",1047500,1047600,10475,NA,1,36.683,NA,NA,20.32,NA,NA
"4889",1047800,1047900,10478,0.25,1,38.235,-1.319682781,-1,16.082,-1.379335208,0
"4890",1048200,1048300,10482,NA,1,2.577,0.965207941,-1,16.29,NA,NA
"4891",1048200,1048400,10482,NA,1,2.577,0.965207941,-1,42.955,NA,NA
"4892",1048300,1048400,10482,NA,1,16.29,NA,NA,42.955,NA,NA
"4893",1048700,1048800,10487,0.25,1,8.677,-1.379335208,0,38.215,0.965207941,-1
"4894",1048800,1048900,10487,0.25,1,38.215,0.965207941,-1,25.688,-0.54666941,-1
"4895",1048700,1048900,10487,NA,1,8.677,-1.379335208,0,25.688,-0.54666941,-1
"4896",1049400,1049500,10494,NA,1,10.388,NA,NA,92.362,NA,NA
"4897",1049600,1049700,10496,NA,1,28.08,NA,NA,25.518,NA,NA
"4898",1049600,1049800,10496,NA,1,28.08,NA,NA,64.501,NA,NA
"4899",1049700,1049800,10496,NA,1,25.518,NA,NA,64.501,NA,NA
"4900",1050300,1050400,10503,0.5,1,25.857,0.614300512,0,17.543,NA,NA
"4901",1051000,1051100,10510,NA,1,NA,NA,NA,NA,0.1310922787,-1
"4902",1051200,1051300,10512,NA,1,33.003,0.6871693869,1,37.028,NA,NA
"4903",1051500,1051600,10515,0.5,1,47.684,NA,NA,28.649,-0.962277377,0
"4904",1051700,1051800,10517,NA,1,25.247,NA,NA,23.242,NA,NA
"4905",1052400,1052500,10524,0.5,1,3.412,-0.128161715,0,24.758,-0.962277377,0
"4906",1052400,1052600,10524,0.5,1,3.412,-0.128161715,0,7.256,-0.992828522,0
"4907",1052500,1052600,10524,0.5,1,24.758,-0.962277377,0,7.256,-0.992828522,0
"4908",1052500,1052700,10524,0.5,1,24.758,-0.962277377,0,23.051,0.1921945691,-1
"4909",1052600,1052700,10524,0.5,1,7.256,-0.992828522,0,23.051,0.1921945691,-1
"4910",1052400,1052700,10524,0.5,1,3.412,-0.128161715,0,23.051,0.1921945691,-1
"4911",1053100,1053200,10531,0.5,1,7.114,-0.268630856,1,5.754,-0.575770691,-1
"4912",1053300,1053400,10533,NA,1,36.227,NA,NA,40.831,NA,NA
"4913",1053500,1053600,10535,0.5,1,70.251,-1.319682781,-1,48.355,-1.796393039,0
"4914",1053600,1053700,10535,0.5,1,48.355,-1.796393039,0,47.391,NA,NA
"4915",1053500,1053700,10535,0.5,1,70.251,-1.319682781,-1,47.391,NA,NA
"4916",1054000,1054100,10540,0.5,1,47.924,-1.041644227,-1,48.438,-1.379335208,0
